SEASON,TEAM,PPG,FG_PCT,FG3_PCT,FT_PCT,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,FPG,WIN_PCT
2009,WAS,96.0,0.449,0.329,0.766,11.6,28.4,40.0,20.0,7.5,4.4,13.5,20.4,23.2
2010,ATL,101.,0.467,0.360,0.758,11.8,29.8,41.7,21.8,7.2,5.0,11.4,19.9,64.6
2010,BKN,92.3,0.429,0.318,0.780,10.9,28.7,39.6,18.7,6.9,4.7,13.5,20.0,14.6
2010,BOS,99.2,0.482,0.348,0.745,8.73,29.8,38.5,23.5,8.5,4.9,14.0,22.1,61
2010,CHA,95.2,0.453,0.345,0.750,10.4,30.3,40.8,20.2,7.7,5.4,14.8,19.4,53.7
2010,CHI,97.4,0.451,0.330,0.753,11.4,33.1,44.5,20.7,6.4,5.8,13.6,20.0,50
2010,CLE,102.,0.485,0.380,0.719,9.64,32.8,42.4,22.3,6.8,5.1,13.0,19.4,74.4
2010,DAL,102,0.464,0.372,0.816,10.1,31.5,41.7,23.3,7.6,5.4,12.3,19.0,67.1
2010,DEN,106.,0.467,0.358,0.772,10.8,30.5,41.3,20.9,8.3,5.0,13.5,22.4,64.6
2010,DET,94.0,0.445,0.314,0.728,12.8,27.3,40.1,19.4,7.2,3.8,12.6,22.2,32.9
2010,GSW,108.,0.469,0.375,0.782,9.18,29.2,38.4,22.4,9.2,4.1,14.2,23,31.7
2010,HOU,102.,0.446,0.351,0.772,11.8,30.1,41.9,21.8,7.1,3.8,13.8,20.8,51.2
2010,IND,100.,0.442,0.347,0.774,9.57,31.9,41.5,21.0,7.1,5.3,14.2,22.5,39
2010,LAC,95.7,0.454,0.331,0.729,11.3,30.5,41.8,22.0,6.4,5.6,14.9,19.2,35.4
2010,LAL,101.,0.457,0.340,0.765,11.8,32.4,44.3,21.0,7.4,4.8,13,19.4,69.5
2010,MEM,102.,0.468,0.337,0.732,13.0,30.4,43.4,18.8,7.8,4.8,14.4,20.1,48.8
2010,MIA,96.5,0.457,0.346,0.751,10.6,31.1,41.8,18.8,7.3,5.5,12.3,20.8,57.3
2010,MIL,97.6,0.435,0.355,0.754,11.7,31.2,42.9,21.2,7.0,4.6,12.6,22.2,56.1
2010,MIN,98.1,0.448,0.341,0.745,11.7,31.1,42.9,19.8,7.2,3.7,15.6,20.7,18.5
2010,NOP,100.,0.464,0.363,0.778,10.3,29.8,40.2,22.2,7.6,3.6,12.7,19.5,45.1
2010,NYK,102.,0.454,0.346,0.782,10.1,30.2,40.4,21.6,7.1,3.7,13.4,19.9,35.4
2010,OKC,101.,0.462,0.340,0.804,11.7,31.7,43.5,19.9,7.9,5.8,14.1,21.2,61
2010,ORL,102.,0.469,0.375,0.723,9.87,33.3,43.2,19.6,6.2,5.5,13.6,19.8,72
2010,PHI,97.7,0.460,0.343,0.755,11.4,29.5,41,21.0,8.1,5.3,13.8,20.4,32.9
2010,PHX,110.,0.491,0.412,0.770,11.0,31.9,43,23.3,5.8,5.0,14.1,20.8,65.9
2010,POR,98.1,0.460,0.353,0.789,11.1,29.0,40.1,20.4,6.3,4.2,11.5,20.9,61
2010,SAC,100,0.455,0.348,0.726,11.9,30.7,42.6,20.4,6.8,4.4,14.2,22.2,30.5
2010,SAS,100.,0.473,0.361,0.741,10.6,31.4,42.1,22.0,6.1,4.6,12.8,20.1,61
2010,TOR,104.,0.482,0.370,0.763,9.82,30.5,40.4,22,5.7,4.6,12.8,22.1,48.8
2010,UTA,104.,0.490,0.363,0.740,10.6,31.5,42.1,26.6,8.2,4.8,14.5,22.6,64.6
